TF_name,linked_gene,TF_gene
NFKB1,HES1,NFKB1_HES1
NFKB1,B2M,NFKB1_B2M
NFKB1,MUC6,NFKB1_MUC6
NFKB1,PTGDS,NFKB1_PTGDS
NFKB1,EGR1,NFKB1_EGR1
NFKB1,ABCA1,NFKB1_ABCA1
NFKB1,TSLP,NFKB1_TSLP
NFKB1,TNFSF14,NFKB1_TNFSF14
NFKB1,MIF,NFKB1_MIF
NFKB1,GADD45G,NFKB1_GADD45G
NFKB1,BACE1,NFKB1_BACE1
NFKB1,HLA-F,NFKB1_HLA-F
NFKB1,AR,NFKB1_AR
NFKB1,COL2A1,NFKB1_COL2A1
NFKB1,NOX4,NFKB1_NOX4
NFKB1,SDC1,NFKB1_SDC1
NFKB1,NOX5,NFKB1_NOX5
NFKB1,SNAI1,NFKB1_SNAI1
NFKB1,PTGES,NFKB1_PTGES
NFKB1,CFTR,NFKB1_CFTR
NFKB1,PTGFR,NFKB1_PTGFR
NFKB1,IL1RN,NFKB1_IL1RN
NFKB1,CRHR1,NFKB1_CRHR1
NFKB1,CFI,NFKB1_CFI
NFKB1,GATA3,NFKB1_GATA3
